labels,code,region1,region2,region3,region4,region5,region6
Fp1,1,1,0,0,0,0,0
AF7,2,1,0,0,0,0,0
AF3,3,1,0,0,0,0,0
F1,4,1,0,0,0,0,0
F3,5,1,0,0,0,0,0
F5,6,1,0,0,0,0,0
F7,7,1,0,0,0,0,0
FT7,8,1,0,3,0,0,0
FC5,9,1,0,3,0,0,0
FC3,10,1,0,3,0,0,0
FC1,11,1,0,3,0,0,0
C1,12,0,0,3,0,0,0
C3,13,0,0,3,0,0,0
C5,14,0,0,3,0,0,0
T7,15,0,0,3,0,0,0
TP7,16,0,0,3,0,5,0
CP5,17,0,0,3,0,5,0
CP3,18,0,0,3,0,5,0
CP1,19,0,0,3,0,5,0
P1,20,0,0,0,0,5,0
P3,21,0,0,0,0,5,0
P5,22,0,0,0,0,5,0
P7,23,0,0,0,0,5,0
P9,24,0,0,0,0,0,0
PO7,25,0,0,0,0,5,0
PO3,26,0,0,0,0,5,0
O1,27,0,0,0,0,5,0
Iz,28,0,0,0,0,0,0
Oz,29,0,0,0,0,5,6
POz,30,0,0,0,0,5,6
Pz,31,0,0,0,0,5,6
CPz,32,0,0,3,4,5,6
Fpz,33,1,2,0,0,0,0
Fp2,34,0,2,0,0,0,0
AF8,35,0,2,0,0,0,0
AF4,36,0,2,0,0,0,0
Afz,37,1,2,0,0,0,0
Fz,38,1,2,0,0,0,0
F2,39,0,2,0,0,0,0
F4,40,0,2,0,0,0,0
F6,41,0,2,0,0,0,0
F8,42,0,2,0,0,0,0
FT8,43,0,2,0,4,0,0
FC6,44,0,2,0,4,0,0
FC4,45,0,2,0,4,0,0
FC2,46,0,2,0,4,0,0
FCz,47,1,2,3,4,0,0
Cz,48,0,0,3,4,0,0
C2,49,0,0,0,4,0,0
C4,50,0,0,0,4,0,0
C6,51,0,0,0,4,0,0
T8,52,0,0,0,4,0,0
TP8,53,0,0,0,4,0,6
CP6,54,0,0,0,4,0,6
CP4,55,0,0,0,4,0,6
CP2,56,0,0,0,4,0,6
P2,57,0,0,0,0,0,6
P4,58,0,0,0,0,0,6
P6,59,0,0,0,0,0,6
P8,60,0,0,0,0,0,6
P10,61,0,0,0,0,0,0
PO8,62,0,0,0,0,0,6
PO4,63,0,0,0,0,0,6
O2,64,0,0,0,0,0,6
